Name Of Organisation,Contact,Email Id,Address,Active In,Forms of Abolition,Forms of Slavery,
Aangan Trust,+91 (0) 222 352-5832,contact@aanganindia.org,"1/48 Tardeo A/C Market 
Mumbai, Maharashtra 
India",India,"

Awareness, 
Policy Making, 
Aftercare","

Child Labor, 
Forced Marriage",
"Action Against Trafficking & Sexual Exploitation of Children, India (ATSEC India)","+91 (0) 33 464-6098, +91 (0) 33 464-5430",atsec@vsnl.net,"P-112 Lake Terrace
Kolkata, West Bengal 
India","India,
Bangladesh","

Awareness, 
Policy Making","

Sex Trafficking, 
Child Labor, 
Forced Marriage",
ActionAid - India,Not available,not available,"R 7, Hauz Khas Enclave
New Delhi, Delhi 
India",India,"

Awareness, 
Policy Making","

Forced Labor, 
Bonded Labor, 
Child Labor",
Adithi,+91 (0) 61 232-5457,adithiwomen@rediffmail.com,"H/o Er. K. P Singh I.A.S. Colony West of Canal, Off Bailey Road
Patna, Bihar 
India",India,"

Awareness, 
Policy Making, 
Rescue, 
Aftercare, 
Empowerment","

Sex Trafficking, 
Forced Labor, 
Child Labor, 
Forced Marriage",
All Bengal Women's Union,+91 (0) 332 229-3292,abwuallhome@yahoo.com,"89, Elliot Road
Kolkata, West Bengal 
India",India,"

Awareness, 
Aftercare, 
Empowerment","

Sex Trafficking, 
Child Labor",
Ankuram,+91 (0) 402 764-1225,ankuram@yahoo.com,"F-302, Balaji Residency Bagh Amberpet
Hyderabad, Andhra Pradesh 
India",India,"

Aftercare, 
Empowerment","

Sex Trafficking, 
Child Labor",
Anyay Rahit Zindagi (ARZ),Not available,not available,"Flat no. 4, 1st floor,  Our Lady of Guia Building (RTO Building),  Next to BDO Office
Vasco da Gama, Goa 
India",India,"

Awareness, 
Policy Making, 
Rescue, 
Prosecution, 
Aftercare, 
Empowerment","

Sex Trafficking, 
Child Labor",
Apne Aap,+91 (0) 112 461-9968,Contact@apneaap.org,"40, Max Mueller Road, Gate 4, Lodhi Estate
New Delhi, Delhi 
India",India,"

Policy Making, 
Rescue, 
Aftercare, 
Empowerment","

Sex Trafficking",
Asha Imports,Not available,not available,"9302 A Ironwood Lane
Harrison, Arkansas 72601
United States","India,
United States","

Empowerment","

Sex Trafficking",
Bachpan Bachao Andolan,+91 (0) 114 921-1111,info@bba.org.in,"L- 6, Kalkaji
New Delhi, Delhi 
India",India,"

Awareness, 
Policy Making, 
Rescue, 
Prosecution, 
Aftercare, 
Empowerment","

Bonded Labor, 
Forced Labor, 
Child Labor",
